Linux 5.15.0-1054-kvm (large-instance-spare) 	04/17/24 	_x86_64_	(24 CPU)

17:55:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:59:43     all   23.96    0.00    0.04    4.16    0.00    0.00    0.58    0.00    0.00   71.26
17:59:44     all   26.25    0.00    0.08    3.21    0.00    0.00    0.04    0.00    0.00   70.42
17:59:45     all   26.32    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   73.43
17:59:46     all   24.50    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   75.42
17:59:47     all   25.57    0.00    0.12    0.00    0.00    0.00    0.04    0.00    0.00   74.26
17:59:48     all   26.01    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   73.86
17:59:49     all   20.81    0.00    0.04    0.00    0.00    0.00    0.00    0.00    0.00   79.15
17:59:50     all   19.11    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   80.77
17:59:51     all   19.31    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   80.57
17:59:52     all   19.10    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   80.78
17:59:53     all   19.08    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   80.84
17:59:54     all   19.12    0.00    0.04    0.00    0.00    0.00    0.00    0.00    0.00   80.84
17:59:55     all   19.03    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   80.76
17:59:56     all   19.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   80.89
17:59:57     all   19.05    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   80.87
17:59:58     all   19.14    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   80.78
17:59:59     all   19.22    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   80.70
18:00:00     all   19.67    0.00    0.00    0.00    0.00    0.04    0.00    0.00    0.00   80.28
18:00:01     all   19.47    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   80.41
18:00:02     all   18.65    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   81.22
18:00:03     all   18.84    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   81.16
18:00:04     all   18.94    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   80.94
18:00:05     all   18.67    0.00    0.04    0.00    0.00    0.00    0.00    0.00    0.00   81.29
18:00:06     all    1.71    0.00    7.23    0.00    0.00    0.00    0.00    0.00    0.00   91.06
18:00:07     all    0.21    0.00    9.67    0.00    0.00    0.00    0.04    0.00    0.00   90.08
18:00:08     all    0.04    0.00    8.80    0.00    0.00    0.04    0.21    0.00    0.00   90.91
18:00:09     all    0.12    0.00    8.91    0.00    0.00    0.00    0.08    0.00    0.00   90.88
18:00:10     all    0.12    0.00    8.61    0.00    0.00    0.00    0.12    0.00    0.00   91.14
18:00:11     all    0.08    0.00    9.55    0.00    0.00    0.00    0.00    0.00    0.00   90.36
18:00:12     all    0.08    0.00    9.91    0.00    0.00    0.00    0.04    0.00    0.00   89.96
18:00:13     all    0.08    0.00    5.80    2.92    0.00    0.00    0.00    0.00    0.00   91.19
18:00:14     all    0.04    0.00    0.67    7.50    0.00    0.00    0.00    0.00    0.00   91.79
18:00:15     all    0.04    0.00    3.08   15.09    0.00    0.04    0.00    0.00    0.00   81.74
18:00:16     all    0.00    0.00    9.35    4.17    0.00    0.00    0.00    0.00    0.00   86.48
18:00:17     all    0.08    0.00    8.56    4.17    0.00    0.04    0.00    0.00    0.00   87.15
18:00:18     all    0.08    0.00    4.94    7.95    0.00    0.00    0.00    0.00    0.00   87.03
18:00:19     all    0.00    0.00    0.25   12.04    0.00    0.00    0.13    0.00    0.00   87.58
