NUM_THREADS=16
BATCH_SIZE=32768
num_threads_sort=16
num_threads_io=4
memory_size=16 GB
FILESIZE=64 GB
FILENAME=data-64GB.bin
bytes_free=230743769088
ratio=4
memory_size_byte=17179869184
FILESIZE_byte=68719476736
-------------------------
found good configuration:
memory_size_byte=17179869184
FILESIZE_byte=68719476736
WRITE_SIZE=134217728
FLUSH_SIZE=4
BUCKET_SIZE=33554432
NUM_BUCKETS=128
PREFIX_SIZE=7
EXPECTED_TOTAL_FLUSHES=512
sort_memory=8589934592
NUM_ENTRIES=4294967296
Total Memory: 23462842368 bytes
Free Memory: 22641659904 bytes
MEMORY_MAX=17179869184
RECORD_SIZE=16
HASH_SIZE=10
NONCE_SIZE=6
num_threads_hash=16
num_threads_sort=16
num_threads_io=4
storing vault configuration in data-64GB.bin.config
hash generation and sorting...
initializing circular array...
Create thread data structure...
Create hash generation threads...
Hash generation threads created...
[163][HASHGEN]: 45.87% completed, ETA 192.9 seconds, 128/512 flushes, 211.6 MB/sec
[164][HASHGEN]: 46.20% completed, ETA 191.6 seconds, 128/512 flushes, 211.5 MB/sec
[165][HASHGEN]: 46.52% completed, ETA 190.3 seconds, 128/512 flushes, 210.7 MB/sec
[166][HASHGEN]: 46.84% completed, ETA 189.0 seconds, 128/512 flushes, 209.2 MB/sec
[167][HASHGEN]: 47.16% completed, ETA 187.7 seconds, 128/512 flushes, 208.9 MB/sec
[168][HASHGEN]: 47.48% completed, ETA 186.4 seconds, 128/512 flushes, 209.9 MB/sec
[169][HASHGEN]: 47.79% completed, ETA 185.2 seconds, 128/512 flushes, 202.7 MB/sec
[170][HASHGEN]: 48.14% completed, ETA 183.7 seconds, 128/512 flushes, 232.2 MB/sec
[171][HASHGEN]: 48.56% completed, ETA 181.6 seconds, 128/512 flushes, 275.3 MB/sec
[172][HASHGEN]: 48.98% completed, ETA 179.7 seconds, 128/512 flushes, 275.0 MB/sec
[173][HASHGEN]: 49.40% completed, ETA 177.7 seconds, 128/512 flushes, 274.8 MB/sec
[174][HASHGEN]: 49.83% completed, ETA 175.7 seconds, 128/512 flushes, 278.8 MB/sec
[175][HASHGEN]: 49.98% completed, ETA 176.1 seconds, 138/512 flushes, 69.6 MB/sec
[177][HASHGEN]: 49.99% completed, ETA 177.1 seconds, 149/512 flushes, 3.3 MB/sec
[178][HASHGEN]: 49.99% completed, ETA 178.4 seconds, 162/512 flushes, 1.1 MB/sec
[179][HASHGEN]: 49.99% completed, ETA 179.5 seconds, 175/512 flushes, 2.3 MB/sec
[180][HASHGEN]: 50.00% completed, ETA 180.6 seconds, 184/512 flushes, 0.9 MB/sec
[185][HASHGEN]: 50.00% completed, ETA 185.8 seconds, 196/512 flushes, 0.4 MB/sec
[186][HASHGEN]: 50.00% completed, ETA 186.8 seconds, 205/512 flushes, 1.5 MB/sec
[188][HASHGEN]: 50.00% completed, ETA 188.1 seconds, 215/512 flushes, 1.9 MB/sec
[189][HASHGEN]: 50.01% completed, ETA 189.2 seconds, 223/512 flushes, 1.8 MB/sec
[190][HASHGEN]: 50.01% completed, ETA 190.6 seconds, 226/512 flushes, 0.4 MB/sec
[195][HASHGEN]: 50.01% completed, ETA 195.4 seconds, 228/512 flushes, 0.1 MB/sec
[196][HASHGEN]: 50.01% completed, ETA 196.6 seconds, 234/512 flushes, 0.8 MB/sec
[197][HASHGEN]: 50.01% completed, ETA 197.7 seconds, 240/512 flushes, 1.0 MB/sec
[198][HASHGEN]: 50.02% completed, ETA 198.8 seconds, 249/512 flushes, 5.5 MB/sec
[199][HASHGEN]: 50.04% completed, ETA 199.7 seconds, 256/512 flushes, 10.1 MB/sec
[200][HASHGEN]: 50.46% completed, ETA 197.3 seconds, 256/512 flushes, 276.5 MB/sec
[201][HASHGEN]: 50.88% completed, ETA 195.0 seconds, 256/512 flushes, 277.7 MB/sec
[202][HASHGEN]: 51.29% completed, ETA 192.8 seconds, 256/512 flushes, 264.9 MB/sec
[203][HASHGEN]: 51.69% completed, ETA 190.6 seconds, 256/512 flushes, 265.3 MB/sec
[204][HASHGEN]: 52.10% completed, ETA 188.4 seconds, 256/512 flushes, 266.4 MB/sec
[205][HASHGEN]: 52.50% completed, ETA 186.3 seconds, 256/512 flushes, 264.8 MB/sec
[206][HASHGEN]: 52.91% completed, ETA 184.2 seconds, 256/512 flushes, 263.7 MB/sec
[207][HASHGEN]: 53.31% completed, ETA 182.2 seconds, 256/512 flushes, 262.8 MB/sec
[208][HASHGEN]: 53.72% completed, ETA 180.1 seconds, 256/512 flushes, 267.1 MB/sec
[209][HASHGEN]: 54.13% completed, ETA 178.0 seconds, 256/512 flushes, 267.1 MB/sec
[210][HASHGEN]: 54.53% completed, ETA 175.9 seconds, 256/512 flushes, 264.2 MB/sec
[211][HASHGEN]: 54.92% completed, ETA 174.0 seconds, 256/512 flushes, 255.0 MB/sec
